time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:10:17,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-78.0
2020-08-11 20:10:17,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-86.0
2020-08-11 20:10:17,BLE,C599452F-83CB-57DA-FDBA-FBF0E7B39261,,,3,,,RSSI:-73.0
2020-08-11 20:10:17,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-90.0
2020-08-11 20:10:18,BLE,C599452F-83CB-57DA-FDBA-FBF0E7B39261,,2,,,,AayC8A
2020-08-11 20:10:18,BLE,773A6583-8CB9-3C9D-129A-D6E6CD91E0E9,1,,,,,
2020-08-11 20:10:18,BLE,773A6583-8CB9-3C9D-129A-D6E6CD91E0E9,,,3,,,RSSI:-73.0
2020-08-11 20:10:27,BLE,773A6583-8CB9-3C9D-129A-D6E6CD91E0E9,,,3,,,RSSI:-72.0
2020-08-11 20:10:27,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-86.0
2020-08-11 20:10:27,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-95.0
2020-08-11 20:10:27,BLE,773A6583-8CB9-3C9D-129A-D6E6CD91E0E9,,2,,,,AayC8A
2020-08-11 20:10:28,BLE,DAFC5544-29E8-A3D3-1D82-DD4FF0C6D6D9,1,,,,,
2020-08-11 20:10:28,BLE,DAFC5544-29E8-A3D3-1D82-DD4FF0C6D6D9,,,3,,,RSSI:-73.0
2020-08-11 20:10:28,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-78.0
2020-08-11 20:10:36,BLE,9A42457E-AC4C-AAE2-D604-43A53F3ED423,1,,,,,
2020-08-11 20:10:36,BLE,9A42457E-AC4C-AAE2-D604-43A53F3ED423,,,3,,,RSSI:-60.0
