time,sensor,id,detect,read,measure,share,visit,detectHerald,delete,data
2022-11-29 22:24:24.424+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-99.0
2022-11-29 22:24:24.447+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:24.630+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:24.693+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-53.0[BLETransmitPower:8.0]
2022-11-29 22:24:24.700+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-96.0
2022-11-29 22:24:24.818+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:24.966+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-51.0[BLETransmitPower:8.0]
2022-11-29 22:24:24.973+0000,BLE,DC:AF:8E:3A:5A:D6,,,3,,,,,RSSI:-101.0
2022-11-29 22:24:24.996+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:25.161+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-99.0
2022-11-29 22:24:25.165+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-99.0
2022-11-29 22:24:25.182+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:25.189+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-98.0
2022-11-29 22:24:25.191+0000,BLE,DC:AF:8E:3A:5A:D6,,,3,,,,,RSSI:-99.0
2022-11-29 22:24:25.247+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-49.0[BLETransmitPower:8.0]
2022-11-29 22:24:25.252+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-101.0
2022-11-29 22:24:25.408+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-99.0
